EMPLID,CL1,CL2,CL3,CL4,CL5,CL6,CL7,CL8,CL9,CL10,CL11,CL12,CL13,CL14,CL15,CL16,CL17,CL18,CL19,CL20,
1006105,,,,,,,,,,,,,1,,,,,,1,,2
1006110,0,1,,,,,,,,,,0,0,,0,,,0,,,1
1006113,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0
1006180,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1006181,1,,,,,,,,,,,,,,1,,,,,,2
1006244,,1,,,,,,,,,,1,,,,,,,0,,2
1006292,0,,,,,0,0,0,,0,0,,,,,,,,,,0
1006309,0,,0,0,0,0,0,,,,,0,0,,0,0,0,0,,,0
1006366,1,0,0,,1,,,,,,,0,,,,0,,,,,2
1006397,,1,,,,,,,,,,0,,,,1,,,0,,2
1006531,,1,,,,,,,,,,1,1,,,0,,,0,,3
1006663,0,0,,0,,0,0,0,0,0,0,0,,,0,,,,,,0
1006682,,1,,,,,,,,,,0,0,,,,,1,,,2
1006693,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,0
1006730,,0,,,,,,,,,,0,1,,,0,1,,0,,2
1006734,0,,,,,0,0,0,0,0,0,,,,0,0,,,,,0
1006736,,0,,,,,,,,,,0,0,,,,,1,,,1
1006738,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,,0
1006758,,,,,,,,,,,,0,1,,,,,,,,1
1006781,,,,,,,,,,,,0,,,,,,,1,,1
1006788,0,0,,,,0,0,0,0,0,0,,,,0,,,,,,0
1006847,0,,0,,,0,0,0,0,0,0,0,,,,,,,,,0
1007018,0,,,,,0,0,0,0,0,0,0,,,0,,,,,,0
1007055,0,,,,,0,0,0,,0,0,0,,,0,,,,,,0
1007067,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1007079,0,,0,,0,0,0,0,0,,,0,0,0,,,,0,,,0
1007091,,,,,,,,,,,,1,1,,,,,,,,2
1007146,0,,0,,0,0,0,0,0,1,1,,,,0,0,,,,,2
1007147,,,,,,,,,,,,0,0,,,1,,1,0,,2
1007149,0,0,0,0,0,0,0,,,,,,0,,0,,0,0,,,0
1007150,0,,0,,,0,0,0,0,0,0,,,,,,0,,,,0
1007151,,,,,,,,,,,,,,1,,1,,,,,2
1007154,0,,1,,,,,,,,,0,0,0,1,0,,0,0,,2
1007156,0,,,,0,0,0,0,0,0,0,,0,,0,,,0,,,0
1007200,0,0,0,,,,,,,,,,,0,0,,,,,,0
1007205,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1007211,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1007247,0,,,,,0,0,0,0,0,0,,,,,,,,,,0
1007281,0,0,,,0,0,1,,,,,0,,,0,,,,,,1
1007308,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1007323,0,,,,,1,,,,,,0,,0,1,,,,0,,2
1007341,0,,0,,,0,0,,0,0,,,0,,0,,,0,,,0
1007376,0,,,,,0,0,,,,,,0,,0,,,0,,,0
1007399,1,,,,,,,,,,,,0,1,,0,0,0,,,2
1007412,0,,,0,,0,0,0,0,0,0,,,,0,,,,,,0
1007452,0,,,,0,1,0,,,,,,,,0,,0,,,,1
1007454,0,,0,,0,0,0,0,0,0,0,,0,,,,,0,,,0
1007465,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,0
1007467,0,,0,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0
1007470,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1007471,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1007483,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1007518,0,0,0,0,1,,,,,,,0,0,0,0,0,0,0,0,,1
1007521,,0,,,,,,,,,,0,1,0,,0,,,0,,1
1007523,0,,,,0,0,0,0,0,1,1,,0,,0,,,0,,,2
1007524,,1,,,,,,,,,,0,1,,1,0,,,,,3
1007525,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,,,0
1007526,0,,0,,0,0,0,0,0,1,,0,0,,0,,,0,,,1
1007527,1,0,,,,,,,,,,,1,,,,,,,,2
